side,charge,pt,phi,eta,momentum_scale
0,-1,0.35,-2.2252947962927703,-1.0,0.98205185
0,-1,0.35,-2.2252947962927703,-0.8,1.0002304
0,-1,0.35,-2.2252947962927703,-0.6000000000000001,1.0108787
0,-1,0.35,-2.2252947962927703,-0.4,1.0123934
0,-1,0.35,-2.2252947962927703,-0.20000000000000007,1.0103391
0,-1,0.35,-2.2252947962927703,0.0,1.0078872
0,-1,0.35,-2.2252947962927703,0.20000000000000007,1.0057955
0,-1,0.35,-2.2252947962927703,0.4,1.0041348
0,-1,0.35,-2.2252947962927703,0.6,1.0032533
0,-1,0.35,-2.2252947962927703,0.7999999999999999,1.0029031
0,-1,0.35,-2.2252947962927703,1.0,1.0027105
0,-1,0.35,-1.963495408493621,-1.0,0.98445797
0,-1,0.35,-1.963495408493621,-0.8,1.0007372
0,-1,0.35,-1.963495408493621,-0.6000000000000001,1.0112841
0,-1,0.35,-1.963495408493621,-0.4,1.0128284
0,-1,0.35,-1.963495408493621,-0.20000000000000007,1.0105711
0,-1,0.35,-1.963495408493621,0.0,1.0078729
0,-1,0.35,-1.963495408493621,0.20000000000000007,1.0057582
0,-1,0.35,-1.963495408493621,0.4,1.004184
0,-1,0.35,-1.963495408493621,0.6,1.0032858
0,-1,0.35,-1.963495408493621,0.7999999999999999,1.0028627
0,-1,0.35,-1.963495408493621,1.0,1.0026096
0,-1,0.35,-1.7016960206944713,-1.0,0.9856737
0,-1,0.35,-1.7016960206944713,-0.8,1.0008038
0,-1,0.35,-1.7016960206944713,-0.6000000000000001,1.0116028
0,-1,0.35,-1.7016960206944713,-0.4,1.0134684
0,-1,0.35,-1.7016960206944713,-0.20000000000000007,1.0113546
0,-1,0.35,-1.7016960206944713,0.0,1.008706
0,-1,0.35,-1.7016960206944713,0.20000000000000007,1.0066742
0,-1,0.35,-1.7016960206944713,0.4,1.0050403
0,-1,0.35,-1.7016960206944713,0.6,1.0038432
0,-1,0.35,-1.7016960206944713,0.7999999999999999,1.0031224
0,-1,0.35,-1.7016960206944713,1.0,1.0026929
0,-1,0.35,-1.439896632895322,-1.0,0.98536795
0,-1,0.35,-1.439896632895322,-0.8,1.0005399
0,-1,0.35,-1.439896632895322,-0.6000000000000001,1.0114528
0,-1,0.35,-1.439896632895322,-0.4,1.0136234
0,-1,0.35,-1.439896632895322,-0.20000000000000007,1.0120512
0,-1,0.35,-1.439896632895322,0.0,1.0099348
0,-1,0.35,-1.439896632895322,0.20000000000000007,1.008274
0,-1,0.35,-1.439896632895322,0.4,1.0066594
0,-1,0.35,-1.439896632895322,0.6,1.0050569
0,-1,0.35,-1.439896632895322,0.7999999999999999,1.0038358
0,-1,0.35,-1.439896632895322,1.0,1.0030704
0,-1,0.35,-1.1780972450961724,-1.0,0.9837808
0,-1,0.35,-1.1780972450961724,-0.8,0.99963
0,-1,0.35,-1.1780972450961724,-0.6000000000000001,1.0099729
0,-1,0.35,-1.1780972450961724,-0.4,1.0124775
0,-1,0.35,-1.1780972450961724,-0.20000000000000007,1.0118746
0,-1,0.35,-1.1780972450961724,0.0,1.0107883
0,-1,0.35,-1.1780972450961724,0.20000000000000007,1.0099226
0,-1,0.35,-1.1780972450961724,0.4,1.0086695
0,-1,0.35,-1.1780972450961724,0.6,1.0068567
0,-1,0.35,-1.1780972450961724,0.7999999999999999,1.0050902
0,-1,0.35,-1.1780972450961724,1.0,1.003828
0,-1,0.35,-0.9162978572970231,-1.0,0.9818265
0,-1,0.35,-0.9162978572970231,-0.8,0.99772
0,-1,0.35,-0.9162978572970231,-0.6000000000000001,1.007005
0,-1,0.35,-0.9162978572970231,-0.4,1.0100664
0,-1,0.35,-0.9162978572970231,-0.20000000000000007,1.0106581
0,-1,0.35,-0.9162978572970231,0.0,1.0107583
0,-1,0.35,-0.9162978572970231,0.20000000000000007,1.0108875
0,-1,0.35,-0.9162978572970231,0.4,1.0103562
0,-1,0.35,-0.9162978572970231,0.6,1.0087603
0,-1,0.35,-0.9162978572970231,0.7999999999999999,1.0066878
0,-1,0.35,-0.9162978572970231,1.0,1.0049244
0,-1,0.35,-0.6544984694978737,-1.0,0.9803346
0,-1,0.35,-0.6544984694978737,-0.8,0.9953742
0,-1,0.35,-0.6544984694978737,-0.6000000000000001,1.003686
0,-1,0.35,-0.6544984694978737,-0.4,1.0073409
0,-1,0.35,-0.6544984694978737,-0.20000000000000007,1.0089875
0,-1,0.35,-0.6544984694978737,0.0,1.0100628
0,-1,0.35,-0.6544984694978737,0.20000000000000007,1.0109923
0,-1,0.35,-0.6544984694978737,0.4,1.0111557
0,-1,0.35,-0.6544984694978737,0.6,1.010037
0,-1,0.35,-0.6544984694978737,0.7999999999999999,1.0080398
0,-1,0.35,-0.6544984694978737,1.0,1.0060266
0,-1,0.35,-0.39269908169872436,-1.0,0.9792998
0,-1,0.35,-0.39269908169872436,-0.8,0.99345857
0,-1,0.35,-0.39269908169872436,-0.6000000000000001,1.0012225
0,-1,0.35,-0.39269908169872436,-0.4,1.0053188
0,-1,0.35,-0.39269908169872436,-0.20000000000000007,1.0076822
0,-1,0.35,-0.39269908169872436,0.0,1.0093745
0,-1,0.35,-0.39269908169872436,0.20000000000000007,1.0107449
0,-1,0.35,-0.39269908169872436,0.4,1.0112582
0,-1,0.35,-0.39269908169872436,0.6,1.010442
