success,side,trial_id,random_seed,elapsed_seconds,hidden_width,hidden_layers,dropout_probability,batch_size,learning_rate,weight_decay,identity_penalty,smoothness_penalty,odd_component_penalty,maximum_even_log_scale,maximum_odd_log_scale,maximum_total_log_scale,maximum_epochs,patience,score,validation_nll,mean_before,mean_after,width_before,width_after,width_ratio,boundary_fraction,best_epoch
True,0,14,12359,40.5553662776947,8,3,0.0,512,0.0003,0.001,50.0,100.0,10.0,0.015,0.015,0.03,300,35,-2.9371120634139,-2.9519421606123926,0.49878358840942383,0.49755167961120605,0.011812799610197544,0.01143324188888073,0.9678689443788451,0.0,137
True,0,15,12360,41.842867612838745,8,3,0.1,128,0.001,0.001,100.0,300.0,10.0,0.02,0.02,0.02,300,35,-2.933162620333375,-2.939472528843486,0.49878358840942383,0.4975930452346802,0.011812799610197544,0.011449536308646202,0.9692483311714057,0.0018212171801487327,8
True,0,16,12361,14.139091968536377,8,1,0.1,256,0.002,0.001,50.0,20.0,10.0,0.01,0.02,0.02,300,35,-2.919398793835785,-2.940972233433862,0.49878358840942383,0.49769729375839233,0.011812799610197544,0.011478009633719921,0.9716587102528506,0.0,6
True,0,17,12362,13.961366415023804,24,3,0.05,128,0.001,0.001,50.0,300.0,10.0,0.01,0.02,0.03,300,35,-2.942417642158544,-2.9450964093628222,0.49878358840942383,0.49762171506881714,0.011812799610197544,0.011452335864305496,0.9694853245812387,0.0,3
True,0,18,12363,31.380374908447266,16,1,0.1,256,0.0003,0.001,100.0,100.0,30.0,0.015,0.02,0.04,300,35,-2.958054891787812,-2.960167414866724,0.49878358840942383,0.4976194500923157,0.011812799610197544,0.01136176846921444,0.9618184379769088,0.0,103
True,0,19,12364,13.582808256149292,24,3,0.05,128,0.0003,0.005,100.0,300.0,2.0,0.02,0.02,0.02,300,35,-2.9255397418216367,-2.932867104359027,0.49878358840942383,0.49758169054985046,0.011812799610197544,0.011452698148787022,0.969515993389098,0.0,3
True,0,20,12365,19.932254552841187,24,3,0.0,128,0.001,0.005,100.0,300.0,2.0,0.015,0.01,0.02,300,35,-2.9184187816573166,-2.948649586631796,0.49878358840942383,0.497529536485672,0.011812799610197544,0.011429949663579464,0.9675902445439284,0.009864926392472302,2
True,0,21,12366,31.458056688308716,8,3,0.05,256,0.002,0.005,50.0,300.0,30.0,0.01,0.01,0.04,300,35,-2.9416364136829154,-2.946326837648363,0.49878358840942383,0.4976297616958618,0.011812799610197544,0.011470876634120941,0.9710548737505516,0.0,6
True,0,22,12367,12.550294876098633,24,2,0.1,128,0.001,0.0002,50.0,300.0,30.0,0.02,0.02,0.02,300,35,-2.9276764130483786,-2.933156031597732,0.49878358840942383,0.4975890815258026,0.011812799610197544,0.011447962373495102,0.9691150913634824,0.0,1
True,0,23,12368,21.286970853805542,24,3,0.1,256,0.0003,0.0002,100.0,300.0,2.0,0.02,0.01,0.02,300,35,-2.9296865629631754,-2.9317171296555213,0.49878358840942383,0.4976191222667694,0.011812799610197544,0.01147386897355318,0.9713081870658521,0.0,8
True,0,24,12369,18.88862371444702,16,3,0.0,512,0.002,0.0002,50.0,100.0,2.0,0.015,0.015,0.04,300,35,-2.9740990467593527,-2.9747432385013024,0.49878358840942383,0.4976084232330322,0.011812799610197544,0.011231299489736557,0.9507737251414136,0.0,49
True,0,25,12370,20.86795926094055,24,1,0.1,256,0.0003,0.005,50.0,300.0,10.0,0.01,0.01,0.03,300,35,-2.918790439427032,-2.942822570622094,0.49878358840942383,0.4977071285247803,0.011812799610197544,0.0114867789670825,0.9724010688513159,0.0,34
True,0,26,12371,39.85175085067749,16,2,0.1,128,0.0003,0.005,20.0,100.0,2.0,0.02,0.02,0.02,300,35,-2.9268340566350015,-2.930570806284043,0.49878358840942383,0.4976259469985962,0.011812799610197544,0.011481652967631817,0.9719671328141501,0.0,4
True,0,27,12372,12.947627305984497,24,3,0.05,256,0.0003,0.005,50.0,20.0,2.0,0.02,0.02,0.04,300,35,-2.9197988306814016,-2.926865989857268,0.49878358840942383,0.4976392686367035,0.011812799610197544,0.011491209268569946,0.9727761113165773,0.0,5
True,0,28,12373,19.635196685791016,16,1,0.1,512,0.0003,0.005,20.0,300.0,30.0,0.02,0.02,0.03,300,35,-2.930518573485204,-2.932139358244719,0.49878358840942383,0.4976174831390381,0.011812799610197544,0.011455267667770386,0.9697335132885422,0.0,19
True,0,29,12374,10.800862550735474,16,1,0.1,512,0.002,0.005,50.0,100.0,10.0,0.01,0.01,0.03,300,35,-2.9331866128500916,-2.9467581288870726,0.49878358840942383,0.49766528606414795,0.011812799610197544,0.011478941887617111,0.9717376292160051,0.0,13
